Rank,Profile,Ticker,Sector,Final_Score,Rule_Based_Score,ML_Probability,KMeans_Cluster,HDBSCAN_Cluster_ID,Is_Outlier,RET,VOL,BETA,PE,PB,ROE,ROA,REV_G,EPS_G,DY,Reason
1,Phòng thủ,ACB.VN,Banking,0.6659913672115416,0.6381540171232504,0.8771342209010657,0,1,0,0.133642205020082,0.0161070491537156,0.319,7.247091,1.1859698,0.17508,0.01692,0.127,0.175,4.39,biến động thấp; beta thấp
2,Phòng thủ,BMP.VN,Industrial,0.6525477656678372,0.7353680435064593,0.7511605408532632,1,-1,1,0.4300109317967056,0.0224672108808075,0.657,9.157509,3.5869005,0.3463736000000003,0.2155135976000003,0.054,0.059,10.608400000000008,cổ tức tốt; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
3,Phòng thủ,HDB.VN,Banking,0.6308018344953081,0.5592977988853796,0.9571735011021696,0,3,0,0.444157572058522,0.0226980993606418,0.5,7.5277085,1.6105832,0.24431999,0.02078,0.103,0.188,2.81,beta thấp; ROE tốt
4,Phòng thủ,NT2.VN,Utilities,0.6246763002771112,0.6104788823546978,0.7893643305152909,1,6,0,0.248684876787723,0.0192524306582566,0.178,5.200208,1.3138819,0.28186,0.09724,0.522,4.779,3.04,biến động thấp; beta thấp; ROE tốt
5,Phòng thủ,TPB.VN,Banking,0.6186473648279669,0.5549330758518236,0.9207768469267616,0,1,0,0.1714584022069438,0.0222481317541997,0.668,5.9307694,0.97564375,0.16904,0.01615,0.09,-0.012,6.03,điểm tổng hợp phù hợp hơn các mã còn lại
6,Phòng thủ,SHB.VN,Banking,0.6084701543775437,0.5276434882417775,0.956478850433198,0,3,0,1.0868238581761482,0.0226856691389455,0.584,5.2083335,0.87103796,0.18304001,0.01416,0.094,0.066,3.2,điểm tổng hợp phù hợp hơn các mã còn lại
7,Phòng thủ,MBB.VN,Banking,0.6060724326542805,0.5245479605575554,0.9555554410559668,0,3,0,0.5245861552569457,0.019003326612167,0.61,7.204611,1.4673853,0.20782,0.02053,0.168,0.144,1.21,biến động thấp
8,Phòng thủ,CTG.VN,Banking,0.5953491855728813,0.5229136481928562,0.9172385273515278,0,3,0,0.3693052018413842,0.0179343354414771,0.741,7.122507,1.4482013,0.22364001,0.01421,0.416,0.646,0.89,biến động thấp; ROE tốt
9,Phòng thủ,PAN.VN,Midcap,0.5952458866918637,0.5783936377502124,0.7614813610668607,1,6,0,0.1768695562953925,0.0220046043842235,0.626,6.016847,1.1464198,0.17608999,0.04083,-0.086,4.439,9.32,cổ tức tốt
10,Phòng thủ,VCG.VN,Construction,0.5948295812800746,0.5883604814380584,0.9319089770937348,3,-1,1,0.4012785924547486,0.0216027818656745,0.551,4.991839436,1.1861408,0.33854,0.0355,0.319,1.756,3.56,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
11,Phòng thủ,MSB.VN,Banking,0.5916279246133898,0.5038660069573798,0.9556868789728956,0,1,0,0.2987012987012987,0.020046630538867,0.615,7.6745768,1.0251509,0.14335,0.01615,0.099,0.196,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
12,Phòng thủ,LPB.VN,Banking,0.5784380282649139,0.6011554908330915,0.8305167387269996,0,-1,1,0.4393881267431054,0.0215746621720011,0.725,14.226691,3.2124126,0.23426001,0.020669999,-0.025,-0.101,5.64,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
13,Phòng thủ,VPB.VN,Banking,0.5690062110762797,0.46506294768244255,0.9738485907942798,0,3,0,0.5394199082678464,0.0246532209885813,0.523,8.14996,1.2758288,0.15836,0.02261,0.347,0.591,1.85,beta thấp
14,Phòng thủ,TCB.VN,Banking,0.5642971061294777,0.46596213586319174,0.9524944441009742,0,2,0,0.448046402424195,0.0201870092872197,0.914,8.787346,1.3439496,0.15788999,0.02467,0.211,0.118,2.17,điểm tổng hợp phù hợp hơn các mã còn lại
15,Phòng thủ,HAG.VN,Midcap,0.551776995811206,0.5271336227876876,0.931133839439299,3,-1,1,0.4430894308943089,0.0257815225791926,0.327,6.127451,1.4869381,0.2375,0.05466,0.293,2.301,2.81,beta thấp; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
16,Phòng thủ,VNM.VN,Consumer,0.5441017931326929,0.732201582895882,0.1262427404223022,1,5,0,0.0616401954500214,0.0163844055164813,0.393,13.400106,4.0184402,0.2768,0.13334,0.246,0.558,9.07,biến động thấp; beta thấp; cổ tức tốt; ROE tốt
17,Phòng thủ,SAB.VN,Consumer,0.5367336485019089,0.7432847341778084,0.0657373383097721,1,0,0,-0.0516897119149943,0.0152928993266467,0.362,13.140604,2.9103966,0.20154,0.09476,0.111,0.513,10.42,biến động thấp; beta thấp; cổ tức tốt
18,Phòng thủ,DPM.VN,Materials,0.5296952620142509,0.46677261918409096,0.8118177143415487,3,10,0,0.1781509538782171,0.0202778928459491,0.36,16.666666,1.5378624,0.1116,0.0436,0.365,0.436,3.28,beta thấp
19,Phòng thủ,GAS.VN,Energy,0.5173956191563512,0.4786560991117008,0.7293453991126427,1,5,0,0.169565246032991,0.0177682020129978,0.698,18.621975,3.177473,0.17497,0.09603,0.481,0.068,2.41,biến động thấp
20,Phòng thủ,HPG.VN,Materials,0.5114021076192916,0.3986431069487624,0.9294077310206316,0,9,0,0.1777777208137272,0.0190352456489414,0.973,9.803921,1.466654,0.16465001,0.058179997,0.406,1.689,1.88,biến động thấp
21,Phòng thủ,HAH.VN,Logistics,0.5045114758463136,0.4913647359298613,0.842224642781643,1,-1,1,0.5807295097613412,0.0267055176261034,0.43,8.692689,2.0633388,0.29677,0.14130999,0.073,-0.039,1.4,beta thấp; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
22,Phòng thủ,POW.VN,Energy,0.5023344795996558,0.38920778084270485,0.91955613203905,3,11,0,0.2693333849826409,0.020035017151258,0.714,12.594459,1.0843557,0.100480005,0.0306,0.512,1.448,2.81,biến động thấp
23,Phòng thủ,VIB.VN,Banking,0.49060221914858515,0.5931751370431628,0.3015184928734848,0,1,0,0.0708319959311818,0.0177450868318352,0.57,7.132668,1.1013271,0.16360001,0.01432,0.446,0.157,5.66,biến động thấp
24,Phòng thủ,MWG.VN,Retail,0.48781006417934664,0.473766466057225,0.8246941517571568,3,-1,1,0.4814089260772629,0.020571817104407,0.449,14.285714,3.3057745,0.2525,0.06697,0.286,0.748,1.26,beta thấp; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
25,Phòng thủ,TRA.VN,Pharma,0.47797582376655,0.6726866897362587,0.0283805638046759,1,6,0,0.0082690409245247,0.0120320791108592,0.123,14.025245,2.108778,0.19500999,0.09994,0.14,0.443,5.06,biến động thấp; beta thấp
26,Phòng thủ,DHG.VN,Pharma,0.4757863173650895,0.6590213510970582,0.0578854863885952,1,0,0,0.0474387088432883,0.0117430394098232,0.329,14.224751,2.795642,0.20486,0.11326,0.003,0.186,5.26,biến động thấp; beta thấp
27,Phòng thủ,VRE.VN,Real Estate,0.47475849200746595,0.4411290764720883,0.8638725539080166,0,-1,1,0.8959537572254335,0.0266830342820469,0.927,10.842795,1.5409305,0.14773,0.04242,0.076,0.365,2.81,lưu ý: mã dị biệt theo HDBSCAN
28,Phòng thủ,ANV.VN,Seafood,0.47299858440018777,0.42854453226216077,0.8920696472667009,1,-1,1,0.3869511030708148,0.0287963640538231,0.86,5.6369786,1.6094545,0.3196,0.14551,0.664,0.48,2.22,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
29,Phòng thủ,SJS.VN,Midcap,0.47142065138683004,0.45528351146959245,0.810888773432461,0,-1,1,1.179172464280397,0.029363369450056,0.365,34.72222,4.769309,0.14119,0.046409998,1.21,1.611,2.81,beta thấp; lưu ý: mã dị biệt theo HDBSCAN
30,Phòng thủ,STB.VN,Banking,0.4700316514826357,0.36269292479097814,0.8645864165158043,3,9,0,0.6216216216216217,0.0222789882437298,0.959,13.7126755,2.229506,0.07754,0.0057200002,-0.275,-0.574,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
31,Phòng thủ,PVD.VN,Energy,0.460565679080406,0.3449096016927231,0.8765158315819993,3,11,0,0.2406060695875214,0.0232617714218211,0.635,18.293636,1.059404,0.071729995,0.035520002,1.263,0.929,1.53,điểm tổng hợp phù hợp hơn các mã còn lại
32,Phòng thủ,DBC.VN,Consumer,0.4586171711486061,0.3733720594399063,0.7890269181626867,3,10,0,0.1154593793542868,0.0221643481758674,1.095,6.455768,0.9915659,0.1751,0.06841,0.143,-0.264,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
33,Phòng thủ,DBD.VN,Pharma,0.4558918308155575,0.6434321756373812,0.021957231477563,1,6,0,-0.1422473657310355,0.013331412455445,0.003,18.903591,2.610827,0.16407,0.08144,0.016,-0.019,3.98,biến động thấp; beta thấp
34,Phòng thủ,EIB.VN,Banking,0.45402158994077596,0.4213162099733021,0.836400971837858,3,-1,1,0.1546666666666667,0.0254436508027534,-0.09976,53.475937,1.5079774,0.02865,0.0046564,-0.281,-0.591,2.81,beta thấp; lưu ý: mã dị biệt theo HDBSCAN
35,Phòng thủ,DGC.VN,Materials,0.44613538304042916,0.5968425467057702,0.1133824013855603,1,0,0,-0.3889403636764981,0.0220530000529658,0.314,7.390983,1.1782672,0.18456,0.09072,-0.244,-0.495,6.25,beta thấp
36,Phòng thủ,VIX.VN,Securities,0.4433268923215629,0.3840249996599335,0.8980375702384379,0,-1,1,1.4190140013268184,0.0322371052046584,1.471,6.802721,1.3546116,0.27235,0.20618,0.603,-0.63,2.81,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
37,Phòng thủ,FPT.VN,Technology,0.44286598679202815,0.5639331858196472,0.1924510268731004,1,5,0,-0.2550376181275305,0.0195563645051299,0.426,14.184397,3.5720334,0.2849,0.091400005,-0.223,0.137,2.61,biến động thấp; beta thấp; ROE tốt
38,Phòng thủ,BWE.VN,Utilities,0.44174343249286596,0.6003712423816023,0.0859342513029776,3,10,0,0.0241725822063703,0.0152387972763647,-0.058,10.952903,1.5670379,0.18269,0.054190002,0.12,0.5,2.95,biến động thấp; beta thấp
39,Phòng thủ,VHM.VN,Real Estate,0.44124739115281625,0.37857464117509393,0.904980569321002,2,-1,1,1.9375,0.0280356588276708,1.356,28.653296,2.5027304,0.26724002,0.05698,1.4892000000000083,7.715400000000003,2.81,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
40,Phòng thủ,BVH.VN,Insurance,0.43011511291887095,0.3341790392489003,0.7847591417785629,3,4,0,0.1755466445736297,0.0231792948849196,0.201,17.331022,2.1225724,0.12069,0.01544,0.054,0.189,1.46,beta thấp
41,Phòng thủ,DCM.VN,Materials,0.429832383795753,0.5826293399213348,0.0879673834032746,1,6,0,-0.0288722344952443,0.0204555889721782,0.247,10.7181,1.9076474,0.21162,0.08207,0.552,0.911,4.83,beta thấp
42,Phòng thủ,VCB.VN,Banking,0.4282863322804062,0.5400451034634163,0.2010190394240591,0,2,0,-0.0610578666104065,0.01506423413017,0.529,16.447369,2.4156535,0.16383,0.01543,0.132,0.087,0.866,biến động thấp; beta thấp
43,Phòng thủ,BSR.VN,Energy,0.4268337919677741,0.3677109268100905,0.8777445728028429,3,-1,1,0.2112499748094352,0.027648296818571,0.589,11.709601,2.542857,0.14062999,0.039470002,0.444,0.1805,2.81,lưu ý: mã dị biệt theo HDBSCAN
44,Phòng thủ,SSI.VN,Securities,0.4232332254356684,0.358823926494686,0.8882259075575526,0,-1,1,0.2092338377699256,0.0240476618610594,1.169,13.157894,1.7615561,0.13479,0.05126,0.467,0.192,3.36,lưu ý: mã dị biệt theo HDBSCAN
45,Phòng thủ,KBC.VN,Real Estate,0.4162845077451671,0.30827426131976043,0.8019700992853395,3,10,0,0.2554744525547445,0.0244279246992217,1.038,18.939394,1.1891767,0.06577,0.02043,-0.569,-0.767,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
46,Phòng thủ,PNJ.VN,Retail,0.40717618611684964,0.5140765900128278,0.1892902924314807,1,5,0,0.0228182502783464,0.0212449964889569,0.544,9.98004,2.320336,0.27692,0.15341,0.79,1.167,2.04,ROE tốt
47,Phòng thủ,FMC.VN,Seafood,0.40612877461500096,0.5437713566578479,0.1019552998180298,1,7,0,-0.209181923745971,0.0183094591723037,0.443,6.317114,0.9683902,0.1555,0.048979998,-0.297,0.599,5.69,biến động thấp; beta thấp
48,Phòng thủ,VHC.VN,Seafood,0.40438239530993386,0.5302706008576288,0.132771898838375,1,6,0,-0.1762490291238402,0.0239806814493177,0.467,8.849558,1.373204,0.1619,0.07294,0.116,0.379,6.8,beta thấp; cổ tức tốt
49,Phòng thủ,VND.VN,Securities,0.40295211931166175,0.31675972000577457,0.9248812612304782,0,-1,1,0.6128136045330321,0.0274602437098891,1.06,11.389522,1.1907245,0.105179995,0.04456,0.406,0.426,3.06,lưu ý: mã dị biệt theo HDBSCAN
50,Phòng thủ,HHV.VN,Construction,0.4008221210399017,0.32440611526008983,0.8949513614313552,3,-1,1,0.1756409962028997,0.022003179583098,0.786,9.349885,0.52967644,0.05924,0.025829999,0.234,0.393,2.81,lưu ý: mã dị biệt theo HDBSCAN
51,Phòng thủ,REE.VN,Utilities,0.4002453404636268,0.5391922864600249,0.0912429597664374,1,10,0,0.0696684211406044,0.0162970917113663,0.122,13.12336,1.378318,0.13587,0.049489997,0.195,0.168,1.63,biến động thấp; beta thấp
52,Phòng thủ,BID.VN,Banking,0.3852149972131104,0.48022735190386956,0.1962234035216071,0,2,0,0.0428879177757983,0.0162964008701505,0.937,11.299435,1.7237077,0.18096,0.010039999,0.141,0.123,1.03,biến động thấp
53,Phòng thủ,VSC.VN,Logistics,0.37742153193757155,0.28427762660950207,0.9137087732436804,3,-1,1,0.6307090446550514,0.0324981412910603,0.42,28.260214,1.4930767,0.081379995,0.041890003,0.262,-0.834,2.43,beta thấp; lưu ý: mã dị biệt theo HDBSCAN
54,Phòng thủ,DXG.VN,Real Estate,0.3738645459475381,0.29138124364991774,0.8795907015703828,3,-1,1,0.3041400989967509,0.0267534691992001,0.808,76.33388,1.1341723,0.03827,0.01505,0.462,-0.263,2.81,lưu ý: mã dị biệt theo HDBSCAN
55,Phòng thủ,VJC.VN,Aviation,0.3733026695227053,0.2962117634367438,0.8638177404679385,3,-1,1,1.056056056056056,0.0254452606456637,0.486,40.03932,4.137913,0.114259996,0.02116,0.171,0.505,2.81,beta thấp; lưu ý: mã dị biệt theo HDBSCAN
56,Phòng thủ,SSB.VN,Banking,0.3721423240031549,0.5472687144520947,0.1562168955467545,3,-1,1,0.0268656716417909,0.0176729891644183,0.007,15.174437,1.1662554,0.07811,0.00849,-0.569,-0.676,2.81,biến động thấp; beta thấp; lưu ý: mã dị biệt theo HDBSCAN
57,Phòng thủ,BCM.VN,Real Estate,0.36681047372635367,0.49363929568376885,0.0850518669908619,3,10,0,-0.1313559802458148,0.0204904646805737,0.501,17.152658,2.5786805,0.15845999,0.024619998,-0.4,-0.23,2.02,beta thấp
58,Phòng thủ,BMI.VN,Insurance,0.36365355526861765,0.502688571469103,0.0470862209609823,3,7,0,-0.0336654353450456,0.0166956701419116,0.095,11.060508,0.73141134,0.085719995,0.022249999,0.02,-0.119,3.05,biến động thấp; beta thấp
59,Phòng thủ,TCM.VN,Textile,0.36272145665219324,0.49566436744258036,0.0630255977695479,3,7,0,-0.3779021819415997,0.0187423740366779,0.364,11.061946,1.0486834,0.10875,0.04395,-0.001,-0.161,4.39,biến động thấp; beta thấp
60,Phòng thủ,IMP.VN,Pharma,0.3604979098704712,0.46283586375790686,0.1460512209597458,1,6,0,0.1024286965974659,0.0193584330975308,0.463,23.251432,3.0367444,0.15421,0.10163999,-0.081,0.102,1.07,biến động thấp; beta thấp
61,Phòng thủ,GMD.VN,Logistics,0.36020028186684344,0.47980979760039155,0.0973336941862775,1,6,0,-0.0353992317450673,0.022688778512154,0.589,18.148819,2.86322,0.16347,0.055,0.183,0.1805,2.95,điểm tổng hợp phù hợp hơn các mã còn lại
62,Phòng thủ,SCR.VN,Midcap,0.3519045997099353,0.267187963538863,0.859492100930925,3,-1,1,0.341549295774648,0.0268665445927491,0.726,26.246077,0.4355091,0.017144,0.00878,0.368,7.608,2.81,lưu ý: mã dị biệt theo HDBSCAN
63,Phòng thủ,CSV.VN,Industrial,0.3510407330784399,0.480383611013874,0.0590888214749125,1,6,0,-0.3852000230343405,0.0226255428903484,0.345,15.898251,1.7654365,0.13413,0.07664,0.302,-0.181,3.89,beta thấp
64,Phòng thủ,MIG.VN,Insurance,0.3510037667304727,0.4737431613174433,0.0775342152330497,3,7,0,0.0882566002313378,0.0181791661805172,0.398,11.454754,1.3790565,0.12516,0.0241,0.032,0.003,2.81,biến động thấp; beta thấp
65,Phòng thủ,FRT.VN,Retail,0.34052901868317104,0.5052718658913659,0.1473548502368597,3,-1,1,-0.0116434689507494,0.0224580563349867,0.014,24.570024,5.0185494,0.29212,0.043080002,0.295,0.711,2.81,beta thấp; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
66,Phòng thủ,PET.VN,Midcap,0.3390558389021398,0.25761751961932416,0.8348943006744515,3,-1,1,0.3438734967259778,0.029222129533992,0.409,17.15263,2.1543696,0.15958,0.02191,0.526,0.971,1.03,beta thấp; lưu ý: mã dị biệt theo HDBSCAN
67,Phòng thủ,DGW.VN,Retail,0.33705990197711044,0.4327826380478809,0.1364482213743753,3,7,0,-0.026478671590113,0.0246412457327064,0.327,14.306151,2.5385888,0.19156,0.05495,0.54,0.878,2.4,beta thấp
68,Phòng thủ,CTD.VN,Construction,0.33451175806057826,0.27596466753545973,0.7653459631430257,3,-1,1,0.1202645070315704,0.0251887719191873,0.858,10.384215,0.87560153,0.0924,0.01682,0.281,1.155,1.22,lưu ý: mã dị biệt theo HDBSCAN
69,Phòng thủ,PDR.VN,Real Estate,0.33081619133882206,0.47165697609086343,0.2026252323008706,3,-1,1,0.0121739474243867,0.0284382645371279,-0.02,26.385008,1.2807652,0.05085,0.0081,-0.62296,1.526,2.81,beta thấp; lưu ý: mã dị biệt theo HDBSCAN
70,Phòng thủ,MSN.VN,Consumer,0.3281814319790633,0.38937208645913746,0.2224838858306684,3,4,0,0.0861581920903955,0.0209355049383975,0.78,23.310024,3.0108242,0.1731,0.03869,0.271,2.15,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
71,Phòng thủ,ELC.VN,Technology,0.316674703856079,0.4239546390109108,0.0796258261937659,3,10,0,-0.0166345969169657,0.0196960507041994,0.589,13.7126755,1.3866559,0.091730006,0.03983,0.862,-0.486,2.81,biến động thấp
72,Phòng thủ,CII.VN,Construction,0.3066873050922238,0.18408690375473288,0.9113058898556432,3,-1,1,0.8218849444431355,0.0316324739309666,0.754,93.45794,1.2568492,0.02888,0.0185,0.198,-0.087,2.84,lưu ý: mã dị biệt theo HDBSCAN
73,Phòng thủ,CMG.VN,Technology,0.3049255285535815,0.4159015639437855,0.0551777351717266,3,7,0,-0.2768762765880025,0.0226051397584824,0.379,14.947683,1.9900429,0.13036999,0.03731,0.234,0.159,2.81,beta thấp
74,Phòng thủ,VCI.VN,Securities,0.3022009149831556,0.35307520308333085,0.2201930912992962,0,9,0,0.0639194008565022,0.0227031571122266,0.876,18.018017,1.5675726,0.09283,0.04563,0.69,-0.024,2.26,điểm tổng hợp phù hợp hơn các mã còn lại
75,Phòng thủ,KDH.VN,Real Estate,0.29968270227664595,0.38589352018452694,0.1182289525899084,1,10,0,-0.0142247346343472,0.0232208101410445,0.731,22.371252,1.3338215,0.08931,0.0367,-0.604,1.3,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
76,Phòng thủ,IDI.VN,Midcap,0.27761737254613,0.3693965312209948,0.0761592027657345,3,8,0,-0.1749696233292831,0.0232516974581435,0.06,11.148209,0.45814654,0.043959998,0.02414,-0.004,0.542,2.81,beta thấp
77,Phòng thủ,HVN.VN,Aviation,0.26627408583870876,0.296696895457454,0.2343450360739639,3,4,0,-0.1335616438356164,0.0272692337674402,0.763,7.4906235,11.06790382,0.15097,0.08695,0.198,-0.8362799999999999,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
78,Phòng thủ,HCM.VN,Securities,0.26339913342993715,0.316822934679701,0.1664923166165858,3,9,0,-0.1993704379005995,0.0241506269123989,0.942,19.455254,2.1671154,0.10057,0.03504,0.351,-0.145,2.49,điểm tổng hợp phù hợp hơn các mã còn lại
79,Phòng thủ,FTS.VN,Securities,0.25761040929662327,0.33235172840861327,0.099856797642376,3,11,0,-0.1138394926209229,0.0237404427599565,0.716,22.172846,1.8015116,0.09175,0.033970002,0.213,0.015,2.12,điểm tổng hợp phù hợp hơn các mã còn lại
80,Phòng thủ,VIC.VN,Real Estate,0.2563617422710273,0.11775347037976527,0.8957372520207666,2,-1,1,2.549734895191145,0.0307735562632477,1.4812000000000003,100.99298720000029,11.0641,0.09277,0.0051200003,0.245,-0.014,2.81,lưu ý: mã dị biệt theo HDBSCAN
81,Phòng thủ,GIL.VN,Textile,0.25157634687178926,0.30823314431444226,0.1432525834067187,3,7,0,-0.3477218225419664,0.025376697296959,0.637,13.7126755,0.49466133,0.01754,0.00656,0.566,2.586,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
82,Phòng thủ,DIG.VN,Midcap,0.248571539993335,0.2863804960821624,0.1924207709432855,3,11,0,-0.0635751143713587,0.0293149500956468,0.957,13.210039,1.0860223,0.07079,0.028970001,-0.054,0.1805,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
83,Phòng thủ,ASM.VN,Midcap,0.24073258938365213,0.3049900045508366,0.1089583447922662,3,8,0,-0.177225419592645,0.0204371119842378,0.648,21.834227,0.434259444,0.02665,0.02395,-0.09,4.333,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
84,Phòng thủ,NLG.VN,Real Estate,0.2358167900677402,0.29352329283981404,0.1214019403194815,3,7,0,-0.1493231322188107,0.0263260838236888,0.836,20.201939,0.9621462,0.06429,0.02476,-0.009,-0.509,1.83,điểm tổng hợp phù hợp hơn các mã còn lại
85,Phòng thủ,PLX.VN,Energy,0.23209988273408072,0.344510369590902,0.1637704960817973,3,-1,1,-0.0314987260906539,0.0184406830827889,1.093,49.750957,2.1482337,0.07374,0.01166,0.454,0.1805,2.79,biến động thấp; lưu ý: mã dị biệt theo HDBSCAN
86,Phòng thủ,VDS.VN,Securities,0.22874739758327275,0.27129433269515274,0.1553654587866634,3,11,0,-0.098053536552867,0.0283973528460756,1.003,15.037594,1.1774755,0.08043,0.033239998,0.083,0.1805,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
87,Phòng thủ,GVR.VN,Materials,0.22523965028617743,0.27080206624556624,0.1427128156571243,3,10,0,-0.1154319939632806,0.0239681152682698,1.426,23.923445,2.5693464,0.09948,0.03659,-0.069,-0.702,1.1,điểm tổng hợp phù hợp hơn các mã còn lại
88,Phòng thủ,NKG.VN,Materials,0.2238376936469645,0.2624292950250794,0.1605487485176357,3,8,0,0.023890784982935,0.023787045978346,0.923,38.461536,0.8022924,0.02019,0.0049,-0.203,-0.659,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
89,Phòng thủ,HSG.VN,Materials,0.19198567053433035,0.2921985321372307,0.1497867921530757,3,-1,1,-0.1147595790956365,0.0222505321158291,1.089,19.157087,0.85912985,0.04765,0.02177,0.061,-0.422,3.36,lưu ý: mã dị biệt theo HDBSCAN
1,Tăng trưởng,VHM.VN,Real Estate,0.7961746378978496,0.8856135650965703,0.904980569321002,2,-1,1,1.9375,0.0280356588276708,1.356,28.653296,2.5027304,0.26724002,0.05698,1.4892000000000083,7.715400000000003,2.81,tăng trưởng doanh thu tốt; tăng trưởng EPS tốt; hiệu suất giá tốt; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
2,Tăng trưởng,NT2.VN,Utilities,0.6199065707859961,0.6036649830816764,0.7893643305152909,1,6,0,0.248684876787723,0.0192524306582566,0.178,5.200208,1.3138819,0.28186,0.09724,0.522,4.779,3.04,tăng trưởng EPS tốt; ROE tốt
3,Tăng trưởng,VCG.VN,Construction,0.5583852489723129,0.5362971495698275,0.9319089770937348,3,-1,1,0.4012785924547486,0.0216027818656745,0.551,4.991839436,1.1861408,0.33854,0.0355,0.319,1.756,3.56,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
