Stock,CLOSE,RET,AVG_VOL,VOL,PE,PB,FPE,ROE,ROA,REV_G,EPS_G,GM,PM,OM,DE,CR,QR,BETA,MCAP,FCF,OCF,DY
ACB.VN,24100.0,0.13364220502008206,14600470.766129032,0.016107049153715684,7.247091,1.1859698,5.2056336,0.17508,0.01692,0.127,0.175,0.0,0.51805997,0.67358,46.271,1.666,1.119,0.319,117115763818496.0,-78321256448.0,-58006645506048,4.39
BID.VN,39400.0,0.04288791777579837,4747913.931451613,0.016296400870150538,11.299435,1.7237077,8.848038,0.18096,0.010039999,0.141,0.123,0.0,0.44033,0.58904,46.271,1.666,1.119,0.937,318866861326336.0,-78321256448.0,-138295153524736,1.03
CTG.VN,35650.0,0.36930520184138427,12798420.233870968,0.017934335441477187,7.122507,1.4482013,6.805238,0.22364001,0.01421,0.416,0.646,0.0,0.50629,0.64333,46.271,1.666,1.119,0.741,271454717345792.0,-78321256448.0,-253423823880192,0.89
EIB.VN,21650.0,0.15466666666666673,15809971.262096774,0.0254436508027534,53.475937,1.5079774,12.558685,0.02865,0.00287,-0.281,-0.591,0.0,0.15505,0.31595,46.271,1.666,1.119,-0.406,39862220619776.0,-78321256448.0,-3349824929792,2.81
HDB.VN,27950.0,0.444157572058522,25548462.93951613,0.022698099360641894,7.5277085,1.6105832,4.904658,0.24431999,0.02078,0.103,0.188,0.0,0.50519,0.72029,46.271,1.666,1.119,0.5,129386384719872.0,-78321256448.0,-158680234328064,2.81
LPB.VN,39593.578125,0.43938812674310546,3617395.181451613,0.021574662172001186,14.226691,3.2124126,12.0008675,0.23426001,0.020669999,-0.025,-0.101,0.0,0.55183,0.66639,46.271,1.666,1.119,0.725,158923420073984.0,-78321256448.0,-42249329049600,5.64
MBB.VN,25000.0,0.5245861552569457,32033483.173387095,0.019003326612167044,7.204611,1.4673853,5.5542364,0.20782,0.02053,0.168,0.144,0.0,0.49638,0.68257004,46.271,1.666,1.119,0.61,199763995656192.0,-78321256448.0,-94863211102208,1.21
MSB.VN,12500.0,0.2987012987012987,18620984.762096774,0.020046630538867002,7.6745768,1.0251509,12.0008675,0.14335,0.01615,0.099,0.196,0.0,0.47354,0.61042,46.271,1.666,1.119,0.615,45083999076352.0,-78321256448.0,2615996055552,2.81
SHB.VN,16350.0,1.0868238581761482,78322625.33467741,0.022685669138945593,5.2083335,0.87103796,4.2740417,0.18304001,0.01416,0.094,0.066,0.0,0.55532,0.80978996,46.271,1.666,1.119,0.584,63500617515008.0,-78321256448.0,-52985656770560,3.2
SSB.VN,17200.0,0.02686567164179099,6074718.528225807,0.017672989164418305,15.174437,1.1662554,12.0008675,0.07811,0.00849,-0.569,-0.676,0.0,0.3695,0.61521,46.271,1.666,1.119,0.007,47084749193216.0,-78321256448.0,-18997063974912,2.81
STB.VN,60000.0,0.6216216216216217,12669020.072580645,0.0222789882437298,13.7126755,2.229506,10.65022,0.07754,0.0057200002,-0.275,-0.574,0.0,0.24895,0.44997,46.271,1.666,1.119,0.959,133473272594432.0,-78321256448.0,23215502000128,2.81
TCB.VN,33642.79296875,0.448046402424195,22466813.66532258,0.020187009287219743,8.787346,1.3439496,7.99306,0.15788999,0.02467,0.211,0.118,0.0,0.50819,0.71027,46.271,1.666,1.119,0.914,228531250397184.0,-78321256448.0,-44537544179712,2.17
TPB.VN,17150.0,0.17145840220694386,20080863.68548387,0.022248131754199776,5.9307694,0.97564375,5.8903713,0.16904,0.01615,0.09,-0.012,0.0,0.45663,0.49651,46.271,1.666,1.119,0.668,43275239030784.0,-78321256448.0,-38409343074304,6.03
VCB.VN,57300.0,-0.061057866610406575,5440626.3427419355,0.01506423413017003,16.447369,2.4156535,9.3502245,0.16383,0.01543,0.132,0.087,0.0,0.50307,0.64625,46.271,1.666,1.119,0.529,542283308990464.0,-78321256448.0,-152529958600704,0.69
VIB.VN,16781.84375,0.07083199593118183,12533562.346774194,0.017745086831835215,7.132668,1.1013271,5.156712,0.16360001,0.01432,0.446,0.157,0.0,0.41535,0.51067,46.271,1.666,1.119,0.57,54123688886272.0,-78321256448.0,-27525803671552,5.66
VPB.VN,28199.126953125,0.5394199082678464,32381947.842741936,0.024653220988581314,8.14996,1.2758288,11.219987,0.15836,0.02261,0.347,0.591,0.0,0.50172,0.65835,46.271,1.666,1.119,0.523,214215939850240.0,-78321256448.0,-207254536060928,1.85
FPT.VN,96500.0,-0.25503761812753056,9127030.366935484,0.019556364505129945,14.184397,3.5720334,11.70618,0.2849,0.091400005,-0.223,0.137,0.35819,0.14563,0.16284001,40.119,1.616,1.468,0.426,130318291959808.0,1970171543552.0,9795134291968,2.61
CMG.VN,32409.091796875,-0.2768762765880025,1157515.5040322582,0.022605139758482447,14.947683,1.9900429,5.4560003,0.13036999,0.03731,0.234,0.159,0.18188,0.042129997,0.03842,87.596,1.466,1.322,0.379,6496439500800.0,-478990434304.0,625107795968,2.81
ELC.VN,24350.0,-0.016634596916965783,827899.5685483871,0.01969605070419944,13.7126755,1.3866559,12.0008675,0.091730006,0.03983,0.862,-0.486,0.17374,0.07992,-0.014199999,24.933,2.836,1.961,0.589,24889603915776.0,-244705460224.0,-229022629888,2.81
MWG.VN,88500.0,0.48140892607726293,8995747.983870968,0.020571817104407045,14.285714,3.3057745,20.170088,0.2525,0.06697,0.286,0.748,0.20156999,0.04934,0.062459998,78.202,1.599,1.007,0.449,116739668967424.0,10982478839808.0,4799869747200,1.26
FRT.VN,147700.0,-0.011643468950749414,752794.0766129033,0.02245805633498675,24.570024,5.0185494,15.610905,0.29212,0.043080002,0.295,0.711,0.19586,0.01677,0.03138,224.55,1.176,0.45,0.014,22377656221696.0,-1669179899904.0,-1005803798528,2.81
DGW.VN,38662.72265625,-0.02647867159011308,2051926.2177419355,0.024641245732706433,14.306151,2.5385888,15.637657,0.19156,0.05495,0.54,0.878,0.08894,0.02167,0.03012,75.931,1.492,0.999,0.327,9222734479360.0,289943027712.0,-298938204160,2.4
PNJ.VN,63602.5625,0.022818250278346497,1378382.9072580645,0.021244996488956912,9.98004,2.320336,8.639658,0.27692,0.15341,0.79,1.167,0.21313,0.084960006,0.10825,20.093,3.442,0.876,0.544,33415554400256.0,3325578182656.0,3811873914880,2.04
HPG.VN,26024.236328125,0.17777772081372722,44348829.798387095,0.01903524564894142,9.803921,1.466654,11.015637,0.16465001,0.058179997,0.406,1.689,0.16009001,0.12312,0.12541,64.827,1.208,0.562,0.973,203783615283200.0,883416563712.0,26988861456384,1.88
HSG.VN,12230.76953125,-0.1147595790956365,9613432.653225806,0.022250532115829162,19.157087,0.85912985,5.6823473,0.04765,0.02177,0.061,-0.422,0.12007,0.015420001,0.026349999,72.019,1.275,0.276,1.089,9848779440128.0,-3697385930752.0,-518013452288,3.36
NKG.VN,15000.0,0.023890784982935065,10648760.334677419,0.02378704597834607,38.461536,0.8022924,15.113072,0.02019,0.0049,-0.203,-0.659,0.04343,0.01102,-0.00526,91.053,1.482,0.507,0.923,6131721175040.0,-1133989724160.0,1370197458944,2.81
DGC.VN,65200.0,-0.41636952838565433,2502248.6733870967,0.022053000052965867,7.390983,1.1782672,4.687958,0.18456,0.09072,-0.244,-0.495,0.28944,0.24815,0.16108,7.396,6.591,5.52,0.314,18229363736576.0,-137664200704.0,597337178112,6.25
DCM.VN,32700.0,-0.028872234495244342,3185345.8427419355,0.020455588972178293,10.7181,1.9076474,10.629113,0.21162,0.08207,0.552,0.911,0.24365,0.12621,0.15431,22.382,2.46,1.452,0.247,21943629643776.0,-842264608768.0,-93320486912,4.83
DPM.VN,22400.0,0.1781509538782171,5149210.971774193,0.02027789284594911,16.666666,1.5378624,10.168849,0.1116,0.0436,0.365,0.436,0.17849001,0.070300005,0.08484,26.802,2.412,1.745,0.36,17882027130880.0,-1072691609600.0,-1087297421312,3.28
GVR.VN,26600.0,-0.11543199396328063,3615174.6008064514,0.023968115268269887,23.923445,2.5693464,21.30665,0.09948,0.03659,-0.069,-0.702,0.29757,0.18291001,0.07527,4.779,3.008,2.29,1.426,144800007323648.0,4352489291776.0,6954349494272,1.1
GAS.VN,74900.0,0.16956524603299106,998624.1370967742,0.017768202012997895,18.621975,3.177473,16.402807,0.17497,0.09603,0.481,0.068,0.11846,0.07867,0.091730006,4.651,4.079,3.848,0.698,210650513014784.0,4909993295872.0,8422827229184,2.41
PLX.VN,35750.0,-0.03149872609065396,1780512.0685483871,0.01844068308278894,49.750957,2.1482337,14.549458,0.07374,0.01166,0.454,0.1805,0.05313,0.00522,-0.00629,38.101,1.049,0.616,1.093,54571938349056.0,12496463200256.0,15917255753728,2.79
POW.VN,12800.0,0.2693333849826409,13038538.157258065,0.02003501715125808,12.594459,1.0843557,19.05703,0.100480005,0.0306,0.512,1.448,0.14206,0.08266,0.12720999,80.93,1.352,1.232,0.714,41415916650496.0,-5629040656384.0,3212661751808,2.81
PVD.VN,28450.0,0.2406060695875214,7687429.463709678,0.023261771421821148,18.293636,1.059404,11.634103,0.071729995,0.035520002,1.263,0.929,0.19113001,0.09316,0.12687,31.654,1.665,1.236,0.635,18205070327808.0,-1933041729536.0,1404682633216,1.53
BSR.VN,16200.0,0.2112499748094352,10399059.957805907,0.027648296818571057,11.709601,2.542857,12.0008675,0.14062999,0.039470002,0.444,0.1805,1.0,0.06104,0.06501,41.347,2.052,1.583,0.589,153724093726720.0,2140644573184.0,3298572894208,2.81
BCM.VN,60452.78515625,-0.13135598024581485,478444.125,0.020490464680573736,17.152658,2.5786805,12.0008675,0.15845999,0.024619998,-0.4,-0.23,0.66657996,0.55059,0.32432,113.549,1.606,0.415,0.501,56407499997184.0,-384843218944.0,-411973156864,2.02
DXG.VN,17500.0,0.3041400989967509,19429669.048387095,0.0267534691992001,76.33388,1.1341723,24.382069,0.03827,0.01505,0.462,-0.263,0.52227,0.04772,0.20805,22.845,2.343,0.513,0.808,16185188941824.0,834344976384.0,764525412352,2.81
KBC.VN,34400.0,0.25547445255474455,7509729.379032258,0.024427924699221757,18.939394,1.1891767,14.468864,0.06577,0.02043,-0.569,-0.767,0.54669,0.30187,0.36463,111.847,3.92,0.82,1.038,29759450906624.0,-2578450219008.0,-12984657117184,2.81
KDH.VN,31500.0,-0.014224734634347258,4967792.108870967,0.023220810141044514,22.371252,1.3338215,12.295555,0.08931,0.0367,-0.604,1.3,0.62277,0.28535,0.30842,71.307,10.993,1.499,0.731,25081503809536.0,-7707860402176.0,-1341799661568,2.81
NLG.VN,30600.0,-0.14932313221881077,3364196.294354839,0.026326083823688857,20.201939,0.9621462,14.176075,0.06429,0.02476,-0.009,-0.509,0.41279,0.11738,0.1506,36.802,3.022,1.41,0.836,12248708808704.0,10060761661440.0,-455839580160,1.83
PDR.VN,19400.0,0.01217394742438671,14935863.85483871,0.02843826453712797,26.385008,1.2807652,17.436176,0.05085,0.0081,-0.762,1.526,0.65272003,0.60204,-0.06902,36.279,2.213,0.235,-0.02,16014841479168.0,28641153024.0,-3223263903744,2.81
VHM.VN,117500.0,1.9375,7989485.669354838,0.02803565882767081,28.653296,2.5027304,19.11266,0.26724002,0.05698,3.148,8.503,0.35796002,0.3195,0.46159,59.399,1.333,0.22,1.356,656364418367488.0,-86601245917184.0,77773720780800,2.81
VIC.VN,163000.0,7.039457459926018,14049172.048387097,0.03077355626324773,156.25,11.0641,-382.67715,0.09277,0.0051200003,0.245,-0.014,0.16849001,0.03305,0.13937001,233.177,1.068,0.198,1.556,1639974474612736.0,-182740876001280.0,113228600311808,2.81
VRE.VN,32800.0,0.8959537572254335,10020592.181451613,0.02668303428204692,10.842795,1.5409305,17.141632,0.14773,0.04242,0.076,0.365,0.53154,0.7639,0.48150003,12.785,2.513,1.775,0.927,74532043882496.0,2620985966592.0,-3677573873664,2.81
DBC.VN,27450.0,0.11545937935428685,8061361.181451613,0.022164348175867498,6.455768,0.9915659,12.0008675,0.1751,0.06841,0.143,-0.264,0.17002001,0.089049995,0.106920004,63.882,1.429,0.481,1.095,8370849841152.0,898375024640.0,1655290200064,2.81
MSN.VN,76900.0,0.08615819209039555,8324236.641129033,0.02093550493839752,23.310024,3.0108242,28.234247,0.1731,0.03869,0.271,2.15,0.31463,0.057189997,0.10189,140.583,0.754,0.409,0.78,110178762489856.0,-10835749502976.0,4919203987456,2.81
SAB.VN,47573.44140625,-0.051689711914994385,1279306.5282258065,0.015292899326646717,13.140604,2.9103966,13.20132,0.20154,0.09476,0.111,0.513,0.37058997,0.18146999,0.19648,1.272,3.727,3.344,0.362,61562995867648.0,4764894494720.0,4975344746496,10.42
VNM.VN,61800.0,0.06164019545002142,5082666.016129033,0.01638440551648134,13.400106,4.0184402,12.691829,0.2768,0.13334,0.246,0.558,0.41759998,0.15366,0.16791001,28.254,2.1,1.641,0.393,123307370217472.0,7988249624576.0,9061651185664,9.07
HVN.VN,25300.0,-0.13356164383561642,2097877.0161290322,0.027269233767440247,7.4906235,11.0957985,14.185111,0.15097,0.08695,0.198,-0.853,0.14765,0.059439998,0.007929999,194.718,0.568,0.415,0.763,65808189358080.0,10173791862784.0,12277544648704,2.81
VJC.VN,205400.0,1.0560560560560561,2067764.8588709678,0.025445260645663798,40.03932,4.137913,29.604982,0.114259996,0.02116,0.171,0.505,0.104270004,0.0293,0.08246,262.543,1.128,0.78,0.486,102644567769088.0,-35456687276032.0,6927142617088,2.81
FTS.VN,32900.0,-0.11383949262092297,3477682.879032258,0.02374044275995658,22.172846,1.8015116,12.0008675,0.09175,0.033970002,0.213,0.015,0.79666,0.31734,0.48238,183.439,1.511,1.212,0.716,8976030760960.0,-78321256448.0,-2339081814016,2.12
HCM.VN,22323.236328125,-0.1993704379005995,11932873.036290323,0.02415062691239899,19.455254,2.1671154,12.0008675,0.10057,0.03504,0.351,-0.145,0.72824997,0.32599998,0.60138,176.471,1.546,1.544,0.942,31210745102336.0,-78321256448.0,-9125730713600,2.49
SSI.VN,30600.0,0.20923383776992566,33119691.43145161,0.024047661861059482,13.157894,1.7615561,14.430936,0.13479,0.05126,0.467,0.192,0.83515,0.41096002,0.78417,131.001,1.641,0.898,1.169,67508753137664.0,-78321256448.0,-2110339940352,3.36
VCI.VN,25463.46875,0.06391940085650227,13577992.653225806,0.022703157112226605,18.018017,1.5675726,12.0008675,0.09283,0.04563,0.69,-0.024,0.81597,0.30216998,0.79983,105.336,1.177,1.119,0.876,28231820378112.0,-78321256448.0,-11701096284160,2.26
VDS.VN,16850.0,-0.09805353655286708,2654528.9072580645,0.02839735284607563,15.037594,1.1774755,12.0008675,0.08043,0.033239998,0.083,0.1805,0.72778,0.33466,0.16794,157.178,1.243,1.24,1.003,3590399983616.0,-78321256448.0,9556126720,2.81
VIX.VN,22900.0,1.4190140013268184,44621316.883064516,0.03223710520465841,6.802721,1.3546116,12.0008675,0.27235,0.20618,0.603,-0.63,0.97476995,0.61185,0.97259,32.469,4.005,4.005,1.471,34893656489984.0,-78321256448.0,-2394467074048,2.81
VND.VN,19700.0,0.6128136045330321,25172003.298387095,0.027460243709889164,11.389522,1.1907245,12.0008675,0.105179995,0.04456,0.406,0.426,0.84828,0.37772,0.79396003,113.934,1.88,1.364,1.06,24889603915776.0,-78321256448.0,4853013151744,3.06
BMI.VN,17500.0,-0.033665435345045625,348648.35887096776,0.016695670141911662,11.060508,0.73141134,12.0008675,0.085719995,0.022249999,0.02,-0.119,0.53960997,0.044,0.046529997,46.271,1.364,0.797,0.095,2175413256192.0,-45620547584.0,99755933696,3.05
BVH.VN,59400.0,0.17554664457362978,621976.9032258064,0.023179294884919623,17.331022,2.1225724,26.38889,0.12069,0.01544,0.054,0.189,0.31263,0.052729998,0.14495,262.248,2.035,1.83,0.201,53595701510144.0,-26710516957184.0,2101784346624,1.46
MIG.VN,18350.0,0.08825660023133786,316821.4798387097,0.018179166180517285,11.454754,1.3790565,12.0008675,0.12516,0.0241,0.032,0.003,0.70185,0.07287,0.11951,46.271,1.364,0.725,0.398,3764761395200.0,-461654130688.0,295531118592,2.81
GMD.VN,60054.68359375,-0.03539923174506732,2599055.1370967743,0.022688778512154017,18.148819,2.86322,23.320166,0.16347,0.055,0.183,0.1805,0.45900002,0.30774,0.21098,20.873,2.979,2.631,0.589,31773884940288.0,-213914615808.0,2387340165120,2.95
HAH.VN,59100.0,0.5807295097613412,3333764.9717741935,0.026705517626103445,8.692689,2.0633388,7.5424347,0.29677,0.14130999,0.073,-0.039,0.38591,0.23698999,0.37083,40.784,1.033,0.693,0.43,10239806013440.0,-111021965312.0,1807438577664,1.4
VSC.VN,20250.0,0.6307090446550514,10840688.052419355,0.034412405924674865,28.260214,1.4930767,19.546446,0.081379995,0.041890003,0.262,-0.834,0.36782002,0.08088,0.22699,87.034,1.101,1.017,0.42,7712029540352.0,-2570826285056.0,1532757278720,2.43
CII.VN,21900.0,0.8218849444431355,20934813.508064516,0.03163247393096666,93.45794,1.2568492,12.0008675,0.02888,0.0185,0.198,-0.087,0.54406,0.04098,0.38806,182.119,1.666,0.717,0.754,11826941132800.0,-2576552558592.0,-619721785344,2.84
CTD.VN,69809.5234375,0.12026450703157043,1323105.1733870967,0.025188771919187353,10.384215,0.87560153,14.141798,0.0924,0.01682,0.281,1.155,0.038510002,0.02626,0.023670001,77.617,1.382,0.789,0.858,8319898484736.0,-2387245268992.0,-1193229942784,1.22
HHV.VN,13100.0,0.17564099620289975,10172806.72983871,0.022003179583098047,9.349885,0.52967644,12.0008675,0.05924,0.025829999,0.234,0.393,0.43873,0.15464,0.54755,141.742,0.706,0.639,0.786,6429203759104.0,704344686592.0,2014849531904,2.81
VCG.VN,22850.0,0.4012785924547486,11251466.524193548,0.021602781865674596,3.4638033,1.1861408,6.634769,0.33854,0.0355,0.319,1.756,0.14113,0.23021,0.090959996,55.141,1.493,0.943,0.551,13446804406272.0,3724258574336.0,2344276197376,3.56
BWE.VN,45580.3046875,0.024172582206370308,319567.40725806454,0.015238797276364775,10.952903,1.5670379,7.8145814,0.18269,0.054190002,0.12,0.5,0.43201,0.22715999,0.29696,103.93,1.158,0.582,-0.058,9676860162048.0,-645200150528.0,1239757619200,2.95
NT2.VN,24400.0,0.248684876787723,1130492.7459677418,0.019252430658256603,5.200208,1.3138819,23.826048,0.28186,0.09724,0.522,4.779,0.16263,0.1463,0.0845,26.645,1.849,1.768,0.178,6621148741632.0,1597941088256.0,2032427991040,3.04
REE.VN,52245.9609375,0.06966842114060445,935961.8870967742,0.016297091711366316,13.12336,1.378318,9.9551735,0.13587,0.049489997,0.195,0.168,0.3717,0.25273,0.36847,43.258,2.414,2.017,0.122,33200936058880.0,1595433156608.0,3392152535040,1.63
GIL.VN,13600.0,-0.3477218225419664,631493.5645161291,0.02537669729695907,13.7126755,0.49466133,12.0008675,0.01754,0.00656,0.566,2.586,0.23065001,0.04948,0.04656,37.842,6.331,1.567,0.637,24889603915776.0,-599752835072.0,-683875631104,2.81
TCM.VN,26198.12109375,-0.37790218194159975,1864035.935483871,0.018742374036677934,11.061946,1.0486834,8.456973,0.10875,0.04395,-0.001,-0.161,0.15963,0.07038,0.074499995,43.706,1.85,1.167,0.364,2554483441664.0,202927243264.0,412654075904,4.39
DHG.VN,97470.5546875,0.04743870884328838,20662.532258064515,0.00962341493555952,14.224751,2.795642,14.749263,0.20486,0.11326,0.003,0.186,0.48178002,0.1711,0.27495,46.271,5.459,3.814,0.329,12420876599296.0,688355344384.0,867410247680,5.26
DBD.VN,48800.0,-0.14224736573103558,265382.41532258067,0.013331412455445057,18.903591,2.610827,19.38224,0.16407,0.08144,0.016,-0.019,0.45935002,0.15554,0.1823,14.808,2.994,2.023,0.003,4743360937984.0,34080593920.0,477387718656,3.98
IMP.VN,51700.0,0.1024286965974659,156408.90322580645,0.019358433097530853,23.251432,3.0367444,18.692707,0.15421,0.10163999,-0.081,0.102,0.47752,0.14904,0.18983999,8.407,4.552,2.531,0.463,7223020355584.0,641282080768.0,292537434112,1.07
TRA.VN,74000.0,0.00826904092452474,5187.962962962963,0.012032079110859234,14.025245,2.108778,12.0008675,0.19500999,0.09994,0.14,0.443,0.5498,0.09854999,0.14679,14.481,2.124,1.31,0.123,3274592747520.0,291252207616.0,358290423808,5.06
ANV.VN,26450.0,0.3869511030708148,2710070.9879032257,0.028796364053823152,5.6369786,1.6094545,10.63327,0.3196,0.14551,0.664,0.48,0.22448999,0.13826999,0.13001001,48.836,1.631,0.621,0.86,5990754287616.0,-239500476416.0,719167553536,2.22
FMC.VN,33139.1171875,-0.209181923745971,89366.84274193548,0.01830945917230379,6.317114,0.9683902,12.0008675,0.1555,0.048979998,-0.297,0.599,0.1247,0.04739,0.025179999,37.056,1.966,1.345,0.443,2298419347456.0,599340023808.0,697541984256,5.69
VHC.VN,56600.0,-0.17624902912384022,1304418.6209677418,0.023980681449317753,8.849558,1.373204,8.118934,0.1619,0.07294,0.116,0.379,0.17313999,0.120979995,0.09814,22.264,2.871,1.799,0.467,13197845200896.0,527089434624.0,1777087545344,6.8
BMP.VN,165814.515625,0.4300109317967056,190637.49596774194,0.022467210880807505,9.157509,3.5869005,11.35059,0.40382,0.28395998,0.054,0.059,0.47234002,0.22311,0.27868,1.726,5.16,4.19,0.657,11411414581248.0,889038372864.0,1122481864704,11.99
CSV.VN,27900.0,-0.38520002303434053,1340371.6008064516,0.02262554289034848,15.898251,1.7654365,12.0008675,0.13413,0.07664,0.302,-0.181,0.24279,0.086490005,0.08111,12.375,3.966,2.705,0.345,2839847632896.0,-199198539776.0,-56296595456,3.89
ASM.VN,6470.0,-0.17722541959264504,1191732.439516129,0.020437111984237828,21.834227,0.4250953,12.0008675,0.02665,0.02395,-0.09,4.333,0.12989001,0.00962,0.09871,164.781,1.559,0.668,0.648,2357665202176.0,-500822900736.0,-14525178880,2.81
DIG.VN,17050.0,-0.06357511437135877,17244280.35887097,0.029314950095646837,13.210039,1.0860223,12.0008675,0.07079,0.028970001,-0.054,0.1805,0.23923,0.14338,-0.13562,14.031,2.305,0.627,0.957,10831463972864.0,432472195072.0,1731235676160,2.81
HAG.VN,17750.0,0.44308943089430897,12973779.254032258,0.02578152257919269,6.127451,1.4869381,12.0008675,0.2375,0.05466,0.293,2.301,0.35306,0.37104,0.27919,42.591,0.931,0.725,0.327,19644689678336.0,3077918949376.0,1272149442560,2.81
IDI.VN,6790.0,-0.17496962332928312,1222553.3185483871,0.023251697458143514,11.148209,0.45814654,12.0008675,0.043959998,0.02414,-0.004,0.542,0.090229996,0.020499999,0.05736,152.037,1.446,0.861,0.06,1587133284352.0,-514679046144.0,45363286016,2.81
PAN.VN,27600.0,0.17686955629539258,1618865.3548387096,0.02200460438422356,6.016847,1.1464198,12.0008675,0.17608999,0.04083,-0.086,4.439,0.20691,0.06674,0.067090005,28.597,2.265,1.517,0.626,6726411091968.0,1254382108672.0,13076113915904,9.32
PET.VN,33497.0390625,0.3438734967259778,1576602.052419355,0.029222129533992038,17.15263,2.1543696,12.0008675,0.15958,0.02191,0.526,0.971,0.048800003,0.0123000005,0.026010001,266.74,1.161,0.856,0.409,5202703810560.0,-2697168683008.0,-2885374967808,1.03
SCR.VN,7620.0,0.341549295774648,5704825.181451613,0.026866544592749175,26.246077,0.4355091,12.0008675,0.01424,0.00878,0.368,7.608,0.31018,0.06926,0.12229,85.868,1.866,0.235,0.726,2303683461120.0,-609450262528.0,-1478678020096,2.81
SJS.VN,61000.0,1.1791724642803967,929676.1774193548,0.02936336945005609,34.72222,4.769309,12.0008675,0.14119,0.046409998,1.21,1.611,0.71891,0.50827,0.69575,32.448,2.642,0.203,0.365,16361114828800.0,-187880292352.0,-283710554112,2.81
